conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum,fatalities_best
Libya,LBY,12.483,41.893,27.01671639,18.06679322,1732472.769,2,0,2
Libya,LBY,13.633,32.435,27.01671639,18.06679322,739744.9011,1,0,0
Libya,LBY,13.983,31.75,27.01671639,18.06679322,659055.7128,2,0,0
Libya,LBY,14.428,27.035,27.01671639,18.06679322,360828.954,2,0,0
Libya,LBY,15,-1,27.01671639,18.06679322,3136084.184,1,0,0
Libya,LBY,15.05,12.11,27.01671639,18.06679322,1689078.697,1,0,0
Libya,LBY,15.092,32.377,27.01671639,18.06679322,662328.6493,1,0,2
Libya,LBY,15.271,-4.269,27.01671639,18.06679322,3495675.936,2,0,0
Libya,LBY,16.589,31.209,27.01671639,18.06679322,488294.3655,2,0,0
Libya,LBY,16.867,41.125,27.01671639,18.06679322,1574372.084,1,0,0
Libya,LBY,17,25,27.01671639,18.06679322,248574.1134,12,0,2
Libya,LBY,20.067,32.117,27.01671639,18.06679322,599841.5022,27,1,2
Libya,LBY,22.24,32.76,27.01671639,18.06679322,755441.3912,1,0,0
Libya,LBY,28.669,30.892,27.01671639,18.06679322,1118523.808,1,0,0
Libya,LBY,30,27,27.01671639,18.06679322,1183082.585,1,0,0
Libya,LBY,31.236,30.044,27.01671639,18.06679322,1330421.303,14,4,2
Libya,LBY,32.5,15.6,27.01671639,18.06679322,1960455.376,1,0,0
Libya,LBY,32.581,0.314,27.01671639,18.06679322,3353674.719,1,0,0
Libya,LBY,32.85,39.93,27.01671639,18.06679322,1982183.834,2,0,0
Libya,LBY,35.834,34.437,27.01671639,18.06679322,1886392.209,74,2,2
Libya,LBY,37.617,55.756,27.01671639,18.06679322,3563820.246,5,0,0
Libya,LBY,38.74,9.03,27.01671639,18.06679322,2956525.804,2,0,0
Libya,LBY,39.173,21.543,27.01671639,18.06679322,2223445.855,1,0,2
Libya,LBY,46.717,24.633,27.01671639,18.06679322,2876927.158,2,0,0
Libya,LBY,47.658,29.337,27.01671639,18.06679322,2907492.608,1,0,2
Libya,LBY,50.55,26,27.01671639,18.06679322,3228916.003,1,0,2
Libya,LBY,51.25,25.5,27.01671639,18.06679322,3307591.78,2,0,2
Libya,LBY,51.389,35.689,27.01671639,18.06679322,3293582.891,1,0,0
Libya,LBY,51.533,25.287,27.01671639,18.06679322,3339911.226,1,0,0
Libya,LBY,54,24,27.01671639,18.06679322,3613753.57,2,0,0
Libya,LBY,58.592,23.614,27.01671639,18.06679322,4078450.169,2,0,2
Sudan,SDN,-81.25,42.984,15.96796611,29.90746525,10441863.03,1,0,50
Sudan,SDN,-77.016,38.905,15.96796611,29.90746525,10305959.12,9,2,223
Sudan,SDN,-73.925,40.694,15.96796611,29.90746525,9986284.196,24,1,541
