"conflict_country","iso3c","YYYYMM","med_loc_x","med_loc_y","latitude_con","longitude_con","dist_mediation_conflict","mediation_count","agreements_sum","fatalities_best"
"Syria","SYR","202305",35.933,31.95,35.0167773258703,38.4844621406404,415490.705922602,1,0,0
"Syria","SYR","202411",36,31,35.0167773258703,38.4844621406404,503664.054218447,1,0,0
"Syria","SYR","202301",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,3,0,0
"Syria","SYR","202302",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202303",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,2,0,0
"Syria","SYR","202304",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202305",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202306",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202307",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,3,0,0
"Syria","SYR","202308",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202309",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202401",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202403",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202407",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202411",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,1,0,0
"Syria","SYR","202412",36.292,33.513,35.0167773258703,38.4844621406404,262107.568145975,17,0,0
"Syria","SYR","202308",36.633,35.933,35.0167773258703,38.4844621406404,196398.026184267,1,0,0
"Syria","SYR","202412",36.817,31.917,35.0167773258703,38.4844621406404,378197.728004632,1,0,0
"Syria","SYR","202212",37.617,55.756,35.0167773258703,38.4844621406404,2309630.85506257,1,0,0
"Syria","SYR","202302",37.617,55.756,35.0167773258703,38.4844621406404,2309630.85506257,1,0,0
"Syria","SYR","202303",37.617,55.756,35.0167773258703,38.4844621406404,2309630.85506257,3,0,0
"Syria","SYR","202304",37.617,55.756,35.0167773258703,38.4844621406404,2309630.85506257,3,0,0
"Syria","SYR","202305",37.617,55.756,35.0167773258703,38.4844621406404,2309630.85506257,1,0,0
"Syria","SYR","202407",37.617,55.756,35.0167773258703,38.4844621406404,2309630.85506257,1,0,0
"Syria","SYR","202412",37.933,26.6,35.0167773258703,38.4844621406404,938428.210516569,1,0,0
"Syria","SYR","202412",37.965,36.51,35.0167773258703,38.4844621406404,172719.620428344,1,1,0
"Syria","SYR","202304",39.173,21.543,35.0167773258703,38.4844621406404,1501398.98602647,2,0,0
"Syria","SYR","202305",39.173,21.543,35.0167773258703,38.4844621406404,1501398.98602647,2,0,0
"Syria","SYR","202306",40.133,35.333,35.0167773258703,38.4844621406404,154077.141423229,1,0,0
"Syria","SYR","202309",40.133,35.333,35.0167773258703,38.4844621406404,154077.141423229,1,0,0
"Syria","SYR","202407",40.742,36.512,35.0167773258703,38.4844621406404,263209.949157995,1,0,0
"Syria","SYR","202407",44.366,33.315,35.0167773258703,38.4844621406404,573785.786737283,1,0,0
